Slides;Duration blinks - Max (ms);Duration blinks - Min (ms);Duration blinks - Average (ms);Duration blinks - Std (ms);Number blinks;Frequency blinks (number/s);Duration fixations - Max (ms);Duration fixations - Min (ms);Duration fixations - Average (ms);Duration fixations - Std (ms);Diameter pupil fixations - Max;Diameter pupil fixations - Min;Diameter pupil fixations - Average;Diameter pupil fixations - Std;Number fixations;Number fixations in question;Number fixations rereading;Frequency fixation (number/s);Time first fixation (ms);Deviation area;Diameter pupil - Max;Diameter pupil - Min;Diameter pupil - Average;Diameter pupil - Std;Areas under PD;Browsing speed (pixels/ms);Sum areas;Time in slide (ms);Percent validation (%)
1;209,0;86,0;141,6;47,017;5;0,137;598,0;82,0;218,269;106,421;3,894;2,493;3,523;0,275;104;0;75;2,862;197;0,0;5,53;1,38;3,503;0,378;8750,248;4,861;719328,0;36337;94,54
2;0;0;0;0;0;0,0;459,0;156,0;338,666;131,317;3,259;2,962;3,083;0,127;3;0;0;2,369;156;0,0;3,895;1,984;3,05;0,39;416,548;10,371;127606,0;1270;99,291
3;258,0;193,0;225,5;32,5;2;0,415;446,0;118,0;238,076;98,837;3,845;3,197;3,417;0,171;13;0;8;2,703;160;0,0;5,484;2,375;3,369;0,303;2425,385;5,128;132144,0;4809;90,455
4;0;0;0;0;0;0,0;307,0;131,0;217,25;76,754;3,557;2,515;2,994;0,37;4;0;0;3,162;307;0,0;4,564;1,67;3,006;0,533;557,133;9,051;151627,0;1269;96,847
5;226,0;226,0;226,0;0,0;1;-1;499,0;86,0;227,0;130,931;3,611;2,899;3,392;0,168;14;0;4;2,792;238;0,0;4,675;1,94;3,359;0,367;2352,07;6,737;168593,5;5016;95,494
6;0;0;0;0;0;0,0;205,0;102,0;158,833;33,859;3,572;2,43;3,031;0,398;6;0;2;4,115;205;0,0;4,175;1,5;3,025;0,55;700,714;12,815;123313,5;1461;98,494
7;201,0;201,0;201,0;0,0;1;-1;783,0;135,0;264,75;179,641;3,609;2,831;3,401;0,219;12;0;4;2,497;140;0,0;5,035;1,88;3,433;0,37;1689,203;5,611;167675,5;4810;95,779
8;209,0;136,0;172,5;36,5;2;0,415;393,0;90,0;186,153;82,38;4,286;3,366;3,654;0,241;13;0;8;2,701;393;0,0;5,314;1,91;3,582;0,37;1579,361;4,91;154157,5;4817;84,201
9;217,0;168,0;192,5;24,5;2;0,404;439,0;107,0;207,583;92,302;3,894;3,111;3,582;0,24;12;0;4;2,427;172;0,0;5,205;2,054;3,592;0,478;3358,965;6,391;210720,0;4943;83,977
10;196,0;172,0;180,0;11,313;3;0,6;623,0;107,0;219,09;160,909;3,725;2,934;3,381;0,234;11;0;5;2,203;180;0,0;4,859;1,65;3,451;0,385;5210,954;6,303;171242,0;5000;89,6
11;221,0;148,0;184,5;36,5;2;0,4;385,0;82,0;189,733;102,512;3,665;2,979;3,394;0,228;15;0;5;3,001;385;0,0;4,93;2,135;3,444;0,384;956,684;4,813;140106,5;4999;90,018
12;180,0;180,0;180,0;0,0;1;-1;962,0;94,0;267,384;218,66;3,592;2,918;3,242;0,22;13;0;7;2,601;204;0,0;4,875;2,075;3,22;0,39;1990,395;6,597;161630,0;4999;91,818
13;0;0;0;0;0;0,0;463,0;82,0;272,25;136,958;3,439;3,003;3,271;0,162;4;0;0;2,478;237;0,0;4,18;1,72;3,283;0,379;463,69;7,134;153710,0;1618;98,084
14;0;0;0;0;0;0,0;405,0;90,0;203,5;122,646;3,585;2,931;3,245;0,244;4;0;1;3,502;90;0,0;4,07;2,125;3,284;0,384;525,914;7,908;135312,0;1143;99,912
15;0;0;0;0;0;0,0;462,0;94,0;278,0;184,0;3,432;3,345;3,388;0,043;2;0;0;2,171;462;0,0;3,825;2,44;3,321;0,307;364,028;8,827;107895,5;928;99,245
16;0;0;0;0;0;0,0;364,0;111,0;188,6;89,558;3,5;3,202;3,379;0,098;5;0;0;3,496;156;0,0;5,34;2,065;3,336;0,463;563,25;10,979;180504,0;1432;99,86
17;180,0;168,0;173,333;4,988;3;0,616;561,0;111,0;227,636;116,907;3,679;3,019;3,454;0,188;11;0;3;2,258;180;0,0;4,94;2,05;3,42;0,397;2550,997;6,679;208534,0;4871;86,696
18;0;0;0;0;0;0,0;442,0;82,0;262,0;180,0;3,461;3,026;3,243;0,217;2;0;0;2,169;82;0,0;3,68;1,555;3,182;0,416;316,422;4,234;67617,5;927;97,842
19;0;0;0;0;0;0,0;414,0;98,0;220,2;131,87;3,751;3,441;3,62;0,111;5;0;0;2,9;414;0,0;3,875;3,275;3,603;0,133;264,145;1,862;59105,5;1726;99,884
20;0;0;0;0;0;0,0;266,0;139,0;185,0;51,21;3,698;3,541;3,607;0,065;4;0;0;3,439;266;0,0;3,785;3,054;3,618;0,109;101,564;1,959;53354,5;1167;99,657
21;192,0;181,0;186,5;5,5;2;0,417;323,0;90,0;176,538;69,093;3,646;2,815;3,355;0,248;13;0;3;2,715;184;0,0;4,744;2,065;3,386;0,382;1774,806;4,367;151860,0;4818;76,297
22;181,0;181,0;181,0;0,0;1;-1;492,0;81,0;246,307;141,312;4,12;2,85;3,549;0,394;13;0;9;2,75;217;0,0;4,845;1,92;3,692;0,429;3416,836;2,953;140782,5;4860;90,39
23;168,0;147,0;157,5;10,5;2;0,4;475,0;107,0;230,454;111,903;4,058;3,712;3,865;0,104;11;0;3;2,201;230;0,0;5,87;2,945;3,848;0,285;1187,21;4,083;113239,5;4999;94,358
24;0;0;0;0;0;0,0;422,0;221,0;302,0;86,567;3,673;3,276;3,457;0,163;3;0;0;2,225;221;0,0;5,0;1,99;3,429;0,486;512,187;12,231;175521,5;1350;99,851
25;0;0;0;0;0;0,0;287,0;107,0;223,0;82,17;3,815;3,367;3,661;0,208;3;0;0;2,742;275;0,0;4,46;2,2;3,568;0,368;436,825;8,576;151796,5;1097;99,726
26;0;0;0;0;0;0,0;303,0;135,0;211,75;63,14;3,648;3,439;3,56;0,08;4;0;1;3,463;303;0,0;5,91;2,615;3,502;0,568;603,466;10,555;92826,0;1160;99,568
27;0;0;0;0;0;0,0;372,0;94,0;204,6;92,989;3,216;2,36;2,879;0,383;5;0;0;3,852;164;0,0;5,185;1,79;2,957;0,628;1072,181;13,992;218909,0;1301;99,077
28;0;0;0;0;0;0,0;303,0;123,0;202,4;66,602;3,703;3,146;3,432;0,223;5;0;2;3,457;303;0,0;4,885;2,05;3,423;0,491;1122,096;11,684;237217,0;1447;98,963
29;246,0;185,0;215,5;30,5;2;0,415;652,0;98,0;284,0;191,64;3,61;3,372;3,472;0,082;8;0;2;1,663;172;0,0;5,37;1,815;3,467;0,445;3009,372;8,867;206271,5;4812;78,636
30;0;0;0;0;0;0,0;483,0;98,0;225,25;154,874;3,439;2,859;3,095;0,214;4;0;1;3,798;483;0,0;5,404;1,994;3,067;0,497;546,188;13,794;103885,0;1057;99,621
31;0;0;0;0;0;0,0;360,0;94,0;203,333;113,634;3,656;3,345;3,511;0,127;3;0;0;2,895;94;0,0;3,96;2,335;3,48;0,326;247,935;4,868;95645,5;1040;99,615
32;209,0;184,0;196,5;12,5;2;0,415;471,0;110,0;255,09;134,093;3,574;3,213;3,379;0,104;11;0;2;2,287;156;0,0;4,595;2,07;3,359;0,322;2737,799;6,424;193128,5;4810;80,582
33;196,0;160,0;178,0;18,0;2;0,407;742,0;127,0;291,909;170,963;3,55;2,943;3,372;0,167;11;0;4;2,239;446;0,0;5,105;1,569;3,352;0,337;2413,927;3,867;176417,5;4915;85,615
34;0;0;0;0;0;0,0;344,0;144,0;250,0;82,089;3,686;3,535;3,607;0,061;3;0;0;3,456;262;0,0;3,79;3,48;3,613;0,077;61,596;1,136;20935,0;872;99,541
35;0;0;0;0;0;0,0;274,0;107,0;174,6;72,488;3,724;3,423;3,597;0,125;5;0;0;3,937;250;0,0;3,835;3,325;3,587;0,136;156,681;1,38;40371,0;1272;99,449
36;172,0;148,0;164,0;11,313;3;0,618;581,0;95,0;228,909;139,468;3,679;2,992;3,401;0,218;11;0;1;2,268;221;0,0;4,915;1,74;3,355;0,404;1286,315;5,706;197271,0;4853;81,887
37;0;0;0;0;0;0,0;451,0;118,0;264,666;138,81;3,511;3,279;3,37;0,1;3;0;0;3,211;225;0,0;3,64;3,075;3,403;0,121;132,36;1,5;38615,5;937;99,679
38;0;0;0;0;0;0,0;242,0;115,0;172,333;44,285;3,726;3,298;3,527;0,154;6;0;3;4,137;176;0,0;3,84;3,245;3,56;0,154;212,934;1,126;42606,0;1454;99,724
39;0;0;0;0;0;0,0;455,0;184,0;280,0;123,938;3,807;3,58;3,675;0,096;3;0;0;3,157;201;0,0;3,945;3,48;3,703;0,123;106,863;0,969;14452,5;952;99,789
40;0;0;0;0;0;0,0;405,0;119,0;233,25;111,723;3,714;3,565;3,64;0,06;4;0;0;3,06;151;0,0;3,825;3,48;3,658;0,081;86,945;1,753;60408,5;1310;99,77
41;246,0;221,0;233,5;12,5;2;0,413;762,0;98,0;336,888;228,756;3,732;3,254;3,45;0,136;9;0;2;1,859;123;0,0;4,95;2,07;3,362;0,362;2358,377;6,103;140795,0;4843;75,944
42;275,0;246,0;260,5;14,5;2;0,4;663,0;91,0;242,083;170,62;3,836;3,099;3,446;0,249;12;0;4;2,401;311;0,0;5,14;1,66;3,442;0,451;2788,766;7,223;200935,0;5000;90,32
43;0;0;0;0;0;0,0;270,0;115,0;193,25;64,095;3,402;2,993;3,248;0,164;4;0;2;4,524;241;0,0;4,484;2,24;3,249;0,395;276,845;8,563;75541,0;890;98,764
44;197,0;197,0;197,0;0,0;1;-1;971,0;86,0;246,416;245,994;3,494;2,935;3,208;0,184;12;0;5;2,493;91;0,0;5,41;1,67;3,135;0,488;2949,425;10,255;202850,0;4815;80,373
45;184,0;172,0;178,0;6,0;2;0,415;499,0;86,0;204,461;121,727;3,592;2,737;3,345;0,225;13;0;9;2,701;254;0,0;5,46;1,725;3,337;0,431;1695,323;6,755;150872,5;4816;86,648
46;0;0;0;0;0;0,0;225,0;81,0;132,0;65,863;3,652;3,357;3,519;0,122;3;0;1;3,488;90;0,0;3,895;2,54;3,416;0,327;206,386;6,515;91709,0;863;99,188
47;221,0;221,0;221,0;0,0;1;-1;770,0;123,0;331,7;187,284;3,602;2,841;3,391;0,213;10;0;4;2,079;401;0,0;5,355;2,014;3,395;0,368;2176,706;6,516;161840,5;4811;82,186
48;0;0;0;0;0;0,0;335,0;82,0;207,75;105,838;3,543;3,389;3,487;0,061;4;0;0;3,524;127;0,0;5,37;2,385;3,452;0,36;255,95;7,679;126985,0;1138;99,736
49;160,0;148,0;154,0;6,0;2;0,415;705,0;81,0;252,181;190,256;3,854;3,318;3,552;0,175;11;0;2;2,285;266;0,0;5,88;2,245;3,515;0,427;5658,598;7,777;188152,0;4814;84,918
50;0;0;0;0;0;0,0;364,0;160,0;229,333;95,237;3,564;3,284;3,419;0,114;3;0;0;3,488;364;0,0;5,32;2,35;3,475;0,429;508,853;9,221;101974,0;865;98,265
51;0;0;0;0;0;0,0;463,0;86,0;196,846;93,895;3,412;2,665;3,179;0,189;13;0;5;3,072;287;0,0;4,88;1,8;3,129;0,519;2099,223;14,321;276494,5;4253;97,437
